Canada,10,1
Brazil,10,
United States,10,
Japan,10,
South Korea,10,
Latvia,10,
Ukraine,10,1
India,9,3
Poland,10,
Hong Kong,10,
Armenia,10,
Thailand,10,7
Italy,10,
Ireland,10,
Bulgaria,10,
Ecuador,10,
Sweden,10,1
Belgium,10,3
Taiwan,10,
Argentina,10,
China,10,10
Mexico,10,2
Ghana,10,
Venezuela,10,2
Uganda,10,
United Kingdom,10,
Singapore,10,1
Vietnam,10,4
Brunei,3,1
Benin,10,
Serbia,10,1
Russia,10,3
South Africa,10,1
Colombia,10,
Indonesia,10,1
Guam,10,
Spain,10,
Uruguay,6,
Turkey,10,2
Pakistan,10,10
Iraq,5,
Nepal,3,
Albania,7,
Gambia,3,
Kyrgyzstan,1,
Bangladesh,10,9
Estonia,10,
Belarus,10,2
Australia,10,
Finland,10,
Greece,10,
Czechia,10,
Bosnia and Herzegovina,10,
Slovakia,5,
Georgia,10,1
Lithuania,10,
Germany,10,
Costa Rica,10,
Slovenia,10,2
Yemen,9,5
Malta,6,
Romania,10,
France,10,2
Panama,10,
Moldova,9,
Kazakhstan,10,6
Austria,2,
Portugal,10,
Chile,10,
Cyprus,10,
Curacao,1,
Zambia,4,
Philippines,10,1
Paraguay,10,
Sri Lanka,1,
New Zealand,9,1
Kenya,4,1
Norway,10,
Malaysia,10,2
Mongolia,6,
Macao,10,
Nigeria,10,
Saudi Arabia,6,2
Tunisia,2,
Israel,10,
Hungary,8,
Netherlands,10,1
Bolivia,5,
Denmark,3,
Nicaragua,9,
United Arab Emirates,1,1
Qatar,8,
Botswana,3,
Cambodia,10,
Iran,6,1
French Polynesia,2,
Oman,6,
Azerbaijan,6,1
Dominican Republic,5,
Suriname,4,
Mozambique,8,
Kosovo,1,
Egypt,1,
Kuwait,10,9
North Macedonia,7,
Honduras,2,
Peru,2,
Zimbabwe,1,
Somalia,2,
Croatia,6,
Tajikistan,4,
Liberia,1,
Namibia,1,
Jamaica,5,
Iceland,4,
Bahrain,1,1